symbol,strategy,signal,signals,avg_mfe_points,median_mfe_points,avg_mae_points,median_mae_points,scored_1,correct_pct_1,avg_points_1,median_points_1,scored_3,correct_pct_3,avg_points_3,median_points_3,scored_6,correct_pct_6,avg_points_6,median_points_6,scored_12,correct_pct_12,avg_points_12,median_points_12,hit_plus_50_pct,hit_plus_100_pct,hit_plus_250_pct,hit_plus_500_pct
Boom 900 Index,FINAL_ENSEMBLE,BUY,18,12488.388888888747,8456.499999999323,14701.055555555691,14511.000000000422,18,22.22222222222222,-1482.6111111114087,-3005.500000000211,18,27.77777777777778,194.6666666664088,-2980.000000000473,18,50.0,929.0555555556542,-4265.500000000429,18,44.44444444444444,-4003.6111111113414,-7686.500000000706,61.111111111111114,61.111111111111114,61.111111111111114,61.111111111111114
Boom 900 Index,RSI_EMA,BUY,18,12488.388888888747,8456.499999999323,14701.055555555691,14511.000000000422,18,22.22222222222222,-1482.6111111114087,-3005.500000000211,18,27.77777777777778,194.6666666664088,-2980.000000000473,18,50.0,929.0555555556542,-4265.500000000429,18,44.44444444444444,-4003.6111111113414,-7686.500000000706,61.111111111111114,61.111111111111114,61.111111111111114,61.111111111111114
