time_s,symbol,strategy,signal,confidence,regime_trend,regime_vol,signal_close,next_open,point_size,signal_close_points_1,next_open_points_1,correct_1,signal_close_points_3,next_open_points_3,correct_3,signal_close_points_6,next_open_points_6,correct_6,signal_close_points_12,next_open_points_12,correct_12,mfe_points,mae_points,bars_to_mfe,bars_to_mae,hit_plus_50,bars_to_plus_50,hit_plus_100,bars_to_plus_100,hit_plus_250,bars_to_plus_250,hit_plus_500,bars_to_plus_500
1772743500,Boom 900 Index,RSI_EMA,BUY,0.62,RANGE,LOW_VOL,8946.796,8946.794,0.001,-2932.0000000006985,-2930.000000000291,False,-3228.000000000975,-3226.0000000005675,False,8041.999999999462,8043.999999999869,True,16130.999999999403,16132.99999999981,True,16837.999999999738,5117.000000000189,12,2,True,2.0,True,2.0,True,2.0,True,4.0
1772743500,Boom 900 Index,FINAL_ENSEMBLE,BUY,1.0,RANGE,LOW_VOL,8946.796,8946.794,0.001,-2932.0000000006985,-2930.000000000291,False,-3228.000000000975,-3226.0000000005675,False,8041.999999999462,8043.999999999869,True,16130.999999999403,16132.99999999981,True,16837.999999999738,5117.000000000189,12,2,True,2.0,True,2.0,True,2.0,True,4.0
1772743800,Boom 900 Index,RSI_EMA,BUY,0.62,RANGE,LOW_VOL,8943.864,8943.843,0.001,2729.9999999995634,2750.9999999983847,True,13668.999999999869,13689.99999999869,True,11228.000000000975,11248.999999999796,True,16204.999999999927,16225.999999998749,True,19788.99999999885,2166.000000001077,11,1,True,1.0,True,1.0,True,1.0,True,1.0
1772743800,Boom 900 Index,FINAL_ENSEMBLE,BUY,1.0,RANGE,LOW_VOL,8943.864,8943.843,0.001,2729.9999999995634,2750.9999999983847,True,13668.999999999869,13689.99999999869,True,11228.000000000975,11248.999999999796,True,16204.999999999927,16225.999999998749,True,19788.99999999885,2166.000000001077,11,1,True,1.0,True,1.0,True,1.0,True,1.0
1772977500,Boom 900 Index,RSI_EMA,BUY,0.62,RANGE,LOW_VOL,9100.447,9100.421,0.001,6024.999999999636,6050.999999999476,True,-30.000000000654836,-4.000000000814907,False,-9025.99999999984,-9000.0,False,-14106.99999999997,-14081.000000000131,False,6337.999999999738,15319.999999999709,1,9,True,1.0,True,1.0,True,1.0,True,1.0
1772977500,Boom 900 Index,FINAL_ENSEMBLE,BUY,1.0,RANGE,LOW_VOL,9100.447,9100.421,0.001,6024.999999999636,6050.999999999476,True,-30.000000000654836,-4.000000000814907,False,-9025.99999999984,-9000.0,False,-14106.99999999997,-14081.000000000131,False,6337.999999999738,15319.999999999709,1,9,True,1.0,True,1.0,True,1.0,True,1.0
1773205800,Boom 900 Index,RSI_EMA,BUY,0.62,RANGE,LOW_VOL,8947.687,8947.664,0.001,-3115.9999999999854,-3093.0000000007567,False,-9191.999999999098,-9168.999999999869,False,445.9999999999127,468.99999999914144,True,14221.999999999753,14244.999999998981,True,19141.999999999825,13702.000000001135,10,5,True,6.0,True,6.0,True,6.0,True,6.0
1773205800,Boom 900 Index,FINAL_ENSEMBLE,BUY,1.0,RANGE,LOW_VOL,8947.687,8947.664,0.001,-3115.9999999999854,-3093.0000000007567,False,-9191.999999999098,-9168.999999999869,False,445.9999999999127,468.99999999914144,True,14221.999999999753,14244.999999998981,True,19141.999999999825,13702.000000001135,10,5,True,6.0,True,6.0,True,6.0,True,6.0
1774806600,Boom 900 Index,RSI_EMA,BUY,0.62,RANGE,LOW_VOL,9098.296,9098.285,0.001,-3108.0000000001746,-3096.9999999997526,False,29415.999999999258,29426.99999999968,True,32881.99999999961,32893.00000000003,True,57149.999999999636,57161.00000000006,True,58862.00000000099,4067.9999999993015,10,2,True,2.0,True,2.0,True,2.0,True,2.0
1774806600,Boom 900 Index,FINAL_ENSEMBLE,BUY,1.0,RANGE,LOW_VOL,9098.296,9098.285,0.001,-3108.0000000001746,-3096.9999999997526,False,29415.999999999258,29426.99999999968,True,32881.99999999961,32893.00000000003,True,57149.999999999636,57161.00000000006,True,58862.00000000099,4067.9999999993015,10,2,True,2.0,True,2.0,True,2.0,True,2.0
