time,equity,cash,pos_side,pos_qty,pos_entry,pos_sl,pos_tp
1772278800,10000.0,10000.0,,0.0,,,
1772279100,9999.3054,10000.0,BUY,0.2,9080.369,9064.869,9106.869
1772279400,9998.6874,10000.0,BUY,0.2,9080.369,9064.869,9106.869
1772279700,9998.1216,10000.0,BUY,0.2,9080.369,9064.869,9106.869
1772280000,9997.9654,10000.0,BUY,0.2,9080.369,9064.869,9106.869
1772280300,9997.3428,10000.0,BUY,0.2,9080.369,9064.869,9106.869
1772280600,9996.8,9996.8,,0.0,,,
1772280900,9996.8,9996.8,,0.0,,,
1772281200,9996.8,9996.8,,0.0,,,
1772281500,9996.8,9996.8,,0.0,,,
1772281800,9996.8,9996.8,,0.0,,,
1772282100,9996.8,9996.8,,0.0,,,
1772282400,9996.8,9996.8,,0.0,,,
1772282700,9996.088,9996.8,BUY,0.2,9069.983,9054.483,9096.483
1772283000,9995.48,9996.8,BUY,0.2,9069.983,9054.483,9096.483
1772283300,9994.8766,9996.8,BUY,0.2,9069.983,9054.483,9096.483
1772283600,9997.1192,9996.8,BUY,0.2,9069.983,9054.483,9096.483
1772283900,9996.480399999999,9996.8,BUY,0.2,9069.983,9054.483,9096.483
1772284200,9995.8344,9996.8,BUY,0.2,9069.983,9054.483,9096.483
1772284500,9995.217799999999,9996.8,BUY,0.2,9069.983,9054.483,9096.483
1772284800,9994.597399999999,9996.8,BUY,0.2,9069.983,9054.483,9096.483
1772285100,9994.016,9996.8,BUY,0.2,9069.983,9054.483,9096.483
1772285400,9993.599999999999,9993.599999999999,,0.0,,,
1772285700,9993.599999999999,9993.599999999999,,0.0,,,
1772286000,9993.599999999999,9993.599999999999,,0.0,,,
1772286300,9993.599999999999,9993.599999999999,,0.0,,,
1772286600,9993.599999999999,9993.599999999999,,0.0,,,
1772286900,9993.599999999999,9993.599999999999,,0.0,,,
1772287200,9993.599999999999,9993.599999999999,,0.0,,,
1772287500,9993.599999999999,9993.599999999999,,0.0,,,
1772287800,9993.599999999999,9993.599999999999,,0.0,,,
1772288100,9993.599999999999,9993.599999999999,,0.0,,,
1772288400,9993.599999999999,9993.599999999999,,0.0,,,
1772288700,9993.599999999999,9993.599999999999,,0.0,,,
1772289000,9993.599999999999,9993.599999999999,,0.0,,,
1772289300,9993.599999999999,9993.599999999999,,0.0,,,
1772289600,9993.599999999999,9993.599999999999,,0.0,,,
1772289900,9993.599999999999,9993.599999999999,,0.0,,,
1772290200,9993.599999999999,9993.599999999999,,0.0,,,
1772290500,9993.599999999999,9993.599999999999,,0.0,,,
1772290800,9992.908999999998,9993.599999999999,BUY,0.2,9038.999,9023.499,9065.499
1772291100,9992.315799999998,9993.599999999999,BUY,0.2,9038.999,9023.499,9065.499
1772291400,9991.679199999999,9993.599999999999,BUY,0.2,9038.999,9023.499,9065.499
1772291700,9991.061599999999,9993.599999999999,BUY,0.2,9038.999,9023.499,9065.499
1772292000,9993.439999999999,9993.599999999999,BUY,0.2,9038.999,9023.499,9065.499
1772292300,9992.8224,9993.599999999999,BUY,0.2,9038.999,9023.499,9065.499
1772292600,9992.225599999998,9993.599999999999,BUY,0.2,9038.999,9023.499,9065.499
1772292900,9991.653199999999,9993.599999999999,BUY,0.2,9038.999,9023.499,9065.499
1772293200,9991.071999999998,9993.599999999999,BUY,0.2,9038.999,9023.499,9065.499
1772293500,9990.399999999998,9990.399999999998,,0.0,,,
1772293800,9990.399999999998,9990.399999999998,,0.0,,,
1772294100,9990.399999999998,9990.399999999998,,0.0,,,
1772294400,9990.399999999998,9990.399999999998,,0.0,,,
1772294700,9990.399999999998,9990.399999999998,,0.0,,,
1772295000,9990.399999999998,9990.399999999998,,0.0,,,
