prev_time,time,prev_dt,dt,delta_s,expected_s,missing_bars,first_missing_time,last_missing_time,first_missing_dt,last_missing_dt,missing_times_utc
1789153200.0,1789191000,2026-09-11 19:00:00+00:00,2026-09-12 05:30:00+00:00,37800.0,1800,20,1789155000,1789189200,2026-09-11 19:30:00+00:00,2026-09-12 05:00:00+00:00,2026-09-11T19:30:00+00:00|2026-09-11T20:00:00+00:00|2026-09-11T20:30:00+00:00|2026-09-11T21:00:00+00:00|2026-09-11T21:30:00+00:00|2026-09-11T22:00:00+00:00|2026-09-11T22:30:00+00:00|2026-09-11T23:00:00+00:00|2026-09-11T23:30:00+00:00|2026-09-12T00:00:00+00:00|2026-09-12T00:30:00+00:00|2026-09-12T01:00:00+00:00|2026-09-12T01:30:00+00:00|2026-09-12T02:00:00+00:00|2026-09-12T02:30:00+00:00|2026-09-12T03:00:00+00:00|2026-09-12T03:30:00+00:00|2026-09-12T04:00:00+00:00|2026-09-12T04:30:00+00:00|2026-09-12T05:00:00+00:00
1789192800.0,1789201800,2026-09-12 06:00:00+00:00,2026-09-12 08:30:00+00:00,9000.0,1800,4,1789194600,1789200000,2026-09-12 06:30:00+00:00,2026-09-12 08:00:00+00:00,2026-09-12T06:30:00+00:00|2026-09-12T07:00:00+00:00|2026-09-12T07:30:00+00:00|2026-09-12T08:00:00+00:00
1789203600.0,1789209000,2026-09-12 09:00:00+00:00,2026-09-12 10:30:00+00:00,5400.0,1800,2,1789205400,1789207200,2026-09-12 09:30:00+00:00,2026-09-12 10:00:00+00:00,2026-09-12T09:30:00+00:00|2026-09-12T10:00:00+00:00
1789212600.0,1789344000,2026-09-12 11:30:00+00:00,2026-09-14 00:00:00+00:00,131400.0,1800,72,1789214400,1789342200,2026-09-12 12:00:00+00:00,2026-09-13 23:30:00+00:00,2026-09-12T12:00:00+00:00|2026-09-12T12:30:00+00:00|2026-09-12T13:00:00+00:00|2026-09-12T13:30:00+00:00|2026-09-12T14:00:00+00:00|2026-09-12T14:30:00+00:00|2026-09-12T15:00:00+00:00|2026-09-12T15:30:00+00:00|2026-09-12T16:00:00+00:00|2026-09-12T16:30:00+00:00|2026-09-12T17:00:00+00:00|2026-09-12T17:30:00+00:00|2026-09-12T18:00:00+00:00|2026-09-12T18:30:00+00:00|2026-09-12T19:00:00+00:00|2026-09-12T19:30:00+00:00|2026-09-12T20:00:00+00:00|2026-09-12T20:30:00+00:00|2026-09-12T21:00:00+00:00|2026-09-12T21:30:00+00:00|2026-09-12T22:00:00+00:00|2026-09-12T22:30:00+00:00|2026-09-12T23:00:00+00:00|2026-09-12T23:30:00+00:00|2026-09-13T00:00:00+00:00|2026-09-13T00:30:00+00:00|2026-09-13T01:00:00+00:00|2026-09-13T01:30:00+00:00|2026-09-13T02:00:00+00:00|2026-09-13T02:30:00+00:00|2026-09-13T03:00:00+00:00|2026-09-13T03:30:00+00:00|2026-09-13T04:00:00+00:00|2026-09-13T04:30:00+00:00|2026-09-13T05:00:00+00:00|2026-09-13T05:30:00+00:00|2026-09-13T06:00:00+00:00|2026-09-13T06:30:00+00:00|2026-09-13T07:00:00+00:00|2026-09-13T07:30:00+00:00|2026-09-13T08:00:00+00:00|2026-09-13T08:30:00+00:00|2026-09-13T09:00:00+00:00|2026-09-13T09:30:00+00:00|2026-09-13T10:00:00+00:00|2026-09-13T10:30:00+00:00|2026-09-13T11:00:00+00:00|2026-09-13T11:30:00+00:00|2026-09-13T12:00:00+00:00|2026-09-13T12:30:00+00:00|2026-09-13T13:00:00+00:00|2026-09-13T13:30:00+00:00|2026-09-13T14:00:00+00:00|2026-09-13T14:30:00+00:00|2026-09-13T15:00:00+00:00|2026-09-13T15:30:00+00:00|2026-09-13T16:00:00+00:00|2026-09-13T16:30:00+00:00|2026-09-13T17:00:00+00:00|2026-09-13T17:30:00+00:00|2026-09-13T18:00:00+00:00|2026-09-13T18:30:00+00:00|2026-09-13T19:00:00+00:00|2026-09-13T19:30:00+00:00|2026-09-13T20:00:00+00:00|2026-09-13T20:30:00+00:00|2026-09-13T21:00:00+00:00|2026-09-13T21:30:00+00:00|2026-09-13T22:00:00+00:00|2026-09-13T22:30:00+00:00|2026-09-13T23:00:00+00:00|2026-09-13T23:30:00+00:00
