prev_time,time,prev_dt,dt,delta_s,expected_s,missing_bars,first_missing_time,last_missing_time,first_missing_dt,last_missing_dt,missing_times_utc
1789153200.0,1789191000,2026-09-11 19:00:00+00:00,2026-09-12 05:30:00+00:00,37800.0,1800,20,1789155000,1789189200,2026-09-11 19:30:00+00:00,2026-09-12 05:00:00+00:00,2026-09-11T19:30:00+00:00|2026-09-11T20:00:00+00:00|2026-09-11T20:30:00+00:00|2026-09-11T21:00:00+00:00|2026-09-11T21:30:00+00:00|2026-09-11T22:00:00+00:00|2026-09-11T22:30:00+00:00|2026-09-11T23:00:00+00:00|2026-09-11T23:30:00+00:00|2026-09-12T00:00:00+00:00|2026-09-12T00:30:00+00:00|2026-09-12T01:00:00+00:00|2026-09-12T01:30:00+00:00|2026-09-12T02:00:00+00:00|2026-09-12T02:30:00+00:00|2026-09-12T03:00:00+00:00|2026-09-12T03:30:00+00:00|2026-09-12T04:00:00+00:00|2026-09-12T04:30:00+00:00|2026-09-12T05:00:00+00:00
1789192800.0,1789201800,2026-09-12 06:00:00+00:00,2026-09-12 08:30:00+00:00,9000.0,1800,4,1789194600,1789200000,2026-09-12 06:30:00+00:00,2026-09-12 08:00:00+00:00,2026-09-12T06:30:00+00:00|2026-09-12T07:00:00+00:00|2026-09-12T07:30:00+00:00|2026-09-12T08:00:00+00:00
1789203600.0,1789207200,2026-09-12 09:00:00+00:00,2026-09-12 10:00:00+00:00,3600.0,1800,1,1789205400,1789205400,2026-09-12 09:30:00+00:00,2026-09-12 09:30:00+00:00,2026-09-12T09:30:00+00:00
