prev_time,time,prev_dt,dt,delta_s,expected_s,missing_bars,first_missing_time,last_missing_time,first_missing_dt,last_missing_dt,missing_times_utc
1789153200.0,1789164900,2026-09-11 19:00:00+00:00,2026-09-11 22:15:00+00:00,11700.0,900,12,1789154100,1789164000,2026-09-11 19:15:00+00:00,2026-09-11 22:00:00+00:00,2026-09-11T19:15:00+00:00|2026-09-11T19:30:00+00:00|2026-09-11T19:45:00+00:00|2026-09-11T20:00:00+00:00|2026-09-11T20:15:00+00:00|2026-09-11T20:30:00+00:00|2026-09-11T20:45:00+00:00|2026-09-11T21:00:00+00:00|2026-09-11T21:15:00+00:00|2026-09-11T21:30:00+00:00|2026-09-11T21:45:00+00:00|2026-09-11T22:00:00+00:00
1789164900.0,1789174800,2026-09-11 22:15:00+00:00,2026-09-12 01:00:00+00:00,9900.0,900,10,1789165800,1789173900,2026-09-11 22:30:00+00:00,2026-09-12 00:45:00+00:00,2026-09-11T22:30:00+00:00|2026-09-11T22:45:00+00:00|2026-09-11T23:00:00+00:00|2026-09-11T23:15:00+00:00|2026-09-11T23:30:00+00:00|2026-09-11T23:45:00+00:00|2026-09-12T00:00:00+00:00|2026-09-12T00:15:00+00:00|2026-09-12T00:30:00+00:00|2026-09-12T00:45:00+00:00
1789174800.0,1789178400,2026-09-12 01:00:00+00:00,2026-09-12 02:00:00+00:00,3600.0,900,3,1789175700,1789177500,2026-09-12 01:15:00+00:00,2026-09-12 01:45:00+00:00,2026-09-12T01:15:00+00:00|2026-09-12T01:30:00+00:00|2026-09-12T01:45:00+00:00
1789179300.0,1789190100,2026-09-12 02:15:00+00:00,2026-09-12 05:15:00+00:00,10800.0,900,11,1789180200,1789189200,2026-09-12 02:30:00+00:00,2026-09-12 05:00:00+00:00,2026-09-12T02:30:00+00:00|2026-09-12T02:45:00+00:00|2026-09-12T03:00:00+00:00|2026-09-12T03:15:00+00:00|2026-09-12T03:30:00+00:00|2026-09-12T03:45:00+00:00|2026-09-12T04:00:00+00:00|2026-09-12T04:15:00+00:00|2026-09-12T04:30:00+00:00|2026-09-12T04:45:00+00:00|2026-09-12T05:00:00+00:00
1789192800.0,1789201800,2026-09-12 06:00:00+00:00,2026-09-12 08:30:00+00:00,9000.0,900,9,1789193700,1789200900,2026-09-12 06:15:00+00:00,2026-09-12 08:15:00+00:00,2026-09-12T06:15:00+00:00|2026-09-12T06:30:00+00:00|2026-09-12T06:45:00+00:00|2026-09-12T07:00:00+00:00|2026-09-12T07:15:00+00:00|2026-09-12T07:30:00+00:00|2026-09-12T07:45:00+00:00|2026-09-12T08:00:00+00:00|2026-09-12T08:15:00+00:00
