time,equity,cash,pos_side,pos_qty,pos_entry,pos_sl,pos_tp
1770319800,10000.0,10000.0,,0.0,,,
1770320100,10000.0,10000.0,,0.0,,,
1770320400,10000.4938,10000.0,SELL,0.2,5787.245,5797.63,5769.63
1770320700,10000.7892,10000.0,SELL,0.2,5787.245,5797.63,5769.63
1770321000,10001.4078,10000.0,SELL,0.2,5787.245,5797.63,5769.63
1770321300,10000.0678,10000.0,SELL,0.2,5787.245,5797.63,5769.63
1770321600,10000.4998,10000.0,SELL,0.2,5787.245,5797.63,5769.63
1770321900,10001.0672,10000.0,SELL,0.2,5787.245,5797.63,5769.63
1770322200,10001.6392,10000.0,SELL,0.2,5787.245,5797.63,5769.63
1770322500,10002.2284,10000.0,SELL,0.2,5787.245,5797.63,5769.63
1770322800,10002.8138,10000.0,SELL,0.2,5787.245,5797.63,5769.63
1770323100,10003.4108,10000.0,SELL,0.2,5787.245,5797.63,5769.63
1770323400,10003.446,10003.446,,0.0,,,
1770323700,10003.9462,10003.446,SELL,0.2,5767.603999999999,5777.989,5749.989
1770324000,10003.224,10003.446,SELL,0.2,5767.603999999999,5777.989,5749.989
1770324300,10003.787199999999,10003.446,SELL,0.2,5767.603999999999,5777.989,5749.989
1770324600,10004.3458,10003.446,SELL,0.2,5767.603999999999,5777.989,5749.989
1770324900,10004.923999999999,10003.446,SELL,0.2,5767.603999999999,5777.989,5749.989
1770325200,10005.47,10003.446,SELL,0.2,5767.603999999999,5777.989,5749.989
1770325500,10006.0528,10003.446,SELL,0.2,5767.603999999999,5777.989,5749.989
1770325800,10006.6484,10003.446,SELL,0.2,5767.603999999999,5777.989,5749.989
1770326100,10006.892,10006.892,,0.0,,,
1770326400,10006.9016,10006.892,SELL,0.2,5748.424,5758.809,5730.809
1770326700,10006.2716,10006.892,SELL,0.2,5748.424,5758.809,5730.809
1770327000,10004.738,10004.738,,0.0,,,
1770327300,10004.738,10004.738,,0.0,,,
1770327600,10004.738,10004.738,,0.0,,,
1770327900,10004.738,10004.738,,0.0,,,
1770328200,10004.738,10004.738,,0.0,,,
1770328500,10004.738,10004.738,,0.0,,,
1770328800,10004.738,10004.738,,0.0,,,
1770329100,10004.738,10004.738,,0.0,,,
1770329400,10004.738,10004.738,,0.0,,,
1770329700,10004.738,10004.738,,0.0,,,
1770330000,10004.738,10004.738,,0.0,,,
1770330300,10004.738,10004.738,,0.0,,,
1770330600,10004.738,10004.738,,0.0,,,
1770330900,10004.738,10004.738,,0.0,,,
1770331200,10004.738,10004.738,,0.0,,,
1770331500,10004.738,10004.738,,0.0,,,
1770331800,10004.738,10004.738,,0.0,,,
1770332100,10004.738,10004.738,,0.0,,,
1770332400,10004.738,10004.738,,0.0,,,
1770332700,10004.738,10004.738,,0.0,,,
1770333000,10005.204,10004.738,SELL,0.2,5739.847,5750.227,5722.227
1770333300,10003.161199999999,10004.738,SELL,0.2,5739.847,5750.227,5722.227
1770333600,10003.73,10004.738,SELL,0.2,5739.847,5750.227,5722.227
1770333900,10004.289799999999,10004.738,SELL,0.2,5739.847,5750.227,5722.227
1770334200,10004.8404,10004.738,SELL,0.2,5739.847,5750.227,5722.227
1770334500,10005.4494,10004.738,SELL,0.2,5739.847,5750.227,5722.227
1770334800,10005.9982,10004.738,SELL,0.2,5739.847,5750.227,5722.227
1770335100,10006.498599999999,10004.738,SELL,0.2,5739.847,5750.227,5722.227
1770335400,10007.067599999998,10004.738,SELL,0.2,5739.847,5750.227,5722.227
1770335700,10006.1312,10004.738,SELL,0.2,5739.847,5750.227,5722.227
1770336000,10006.6932,10004.738,SELL,0.2,5739.847,5750.227,5722.227
1770336300,10007.2356,10004.738,SELL,0.2,5739.847,5750.227,5722.227
1770336600,10004.744999999999,10004.738,SELL,0.2,5739.847,5750.227,5722.227
1770336900,10002.586,10002.586,,0.0,,,
1770337200,10002.586,10002.586,,0.0,,,
1770337500,10002.586,10002.586,,0.0,,,
1770337800,10002.586,10002.586,,0.0,,,
1770338100,10002.586,10002.586,,0.0,,,
1770338400,10002.586,10002.586,,0.0,,,
1770338700,10002.586,10002.586,,0.0,,,
1770339000,10002.586,10002.586,,0.0,,,
1770339300,10002.586,10002.586,,0.0,,,
1770339600,10002.586,10002.586,,0.0,,,
1770339900,10002.586,10002.586,,0.0,,,
1770340200,10002.586,10002.586,,0.0,,,
1770340500,10002.586,10002.586,,0.0,,,
1770340800,10002.586,10002.586,,0.0,,,
1770341100,10002.586,10002.586,,0.0,,,
1770341400,10002.586,10002.586,,0.0,,,
1770341700,10002.586,10002.586,,0.0,,,
1770342000,10002.586,10002.586,,0.0,,,
1770342300,10002.586,10002.586,,0.0,,,
1770342600,10002.586,10002.586,,0.0,,,
1770342900,10002.586,10002.586,,0.0,,,
1770343200,10002.586,10002.586,,0.0,,,
1770343500,10002.586,10002.586,,0.0,,,
1770343800,10002.586,10002.586,,0.0,,,
1770344100,10002.586,10002.586,,0.0,,,
1770344400,10003.071199999998,10002.586,SELL,0.2,5735.754,5746.134,5718.134
1770344700,10001.251,10002.586,SELL,0.2,5735.754,5746.134,5718.134
1770345000,10000.432999999999,10000.432999999999,,0.0,,,
1770345300,10000.432999999999,10000.432999999999,,0.0,,,
1770345600,10000.432999999999,10000.432999999999,,0.0,,,
1770345900,10000.432999999999,10000.432999999999,,0.0,,,
1770346200,10000.432999999999,10000.432999999999,,0.0,,,
1770346500,10000.432999999999,10000.432999999999,,0.0,,,
1770346800,10000.432999999999,10000.432999999999,,0.0,,,
1770347100,10000.432999999999,10000.432999999999,,0.0,,,
1770347400,10000.432999999999,10000.432999999999,,0.0,,,
1770347700,10000.432999999999,10000.432999999999,,0.0,,,
1770348000,10000.432999999999,10000.432999999999,,0.0,,,
1770348300,10000.432999999999,10000.432999999999,,0.0,,,
1770348600,10000.432999999999,10000.432999999999,,0.0,,,
1770348900,10000.432999999999,10000.432999999999,,0.0,,,
1770349200,10000.432999999999,10000.432999999999,,0.0,,,
1770349500,10000.432999999999,10000.432999999999,,0.0,,,
1770349800,10000.432999999999,10000.432999999999,,0.0,,,
1770350100,10000.432999999999,10000.432999999999,,0.0,,,
1770350400,10000.432999999999,10000.432999999999,,0.0,,,
1770350700,10000.432999999999,10000.432999999999,,0.0,,,
1770351000,10000.432999999999,10000.432999999999,,0.0,,,
1770351300,10000.432999999999,10000.432999999999,,0.0,,,
1770351600,10000.432999999999,10000.432999999999,,0.0,,,
1770351900,10000.432999999999,10000.432999999999,,0.0,,,
1770352200,10000.432999999999,10000.432999999999,,0.0,,,
1770352500,10000.432999999999,10000.432999999999,,0.0,,,
1770352800,10000.432999999999,10000.432999999999,,0.0,,,
1770353100,10000.432999999999,10000.432999999999,,0.0,,,
1770353400,10000.432999999999,10000.432999999999,,0.0,,,
1770353700,10000.432999999999,10000.432999999999,,0.0,,,
1770354000,10000.432999999999,10000.432999999999,,0.0,,,
1770354300,10000.432999999999,10000.432999999999,,0.0,,,
1770354600,10000.432999999999,10000.432999999999,,0.0,,,
1770354900,10000.432999999999,10000.432999999999,,0.0,,,
1770355200,10000.432999999999,10000.432999999999,,0.0,,,
1770355500,10000.432999999999,10000.432999999999,,0.0,,,
1770355800,10000.432999999999,10000.432999999999,,0.0,,,
1770356100,10000.432999999999,10000.432999999999,,0.0,,,
1770356400,10000.432999999999,10000.432999999999,,0.0,,,
1770356700,10000.432999999999,10000.432999999999,,0.0,,,
1770357000,10000.432999999999,10000.432999999999,,0.0,,,
1770357300,10000.5962,10000.432999999999,SELL,0.2,5741.461,5751.841,5723.841
1770357600,10001.190799999998,10000.432999999999,SELL,0.2,5741.461,5751.841,5723.841
1770357900,10001.7578,10000.432999999999,SELL,0.2,5741.461,5751.841,5723.841
1770358200,10001.707799999998,10000.432999999999,SELL,0.2,5741.461,5751.841,5723.841
1770358500,10002.3092,10000.432999999999,SELL,0.2,5741.461,5751.841,5723.841
1770358800,10002.903199999999,10000.432999999999,SELL,0.2,5741.461,5751.841,5723.841
1770359100,10003.4546,10000.432999999999,SELL,0.2,5741.461,5751.841,5723.841
1770359400,10003.881,10003.881,,0.0,,,
1770359700,10003.881,10003.881,,0.0,,,
1770360000,10003.881,10003.881,,0.0,,,
1770360300,10003.881,10003.881,,0.0,,,
1770360600,10003.953599999999,10003.881,SELL,0.2,5720.724,5731.104,5703.104
1770360900,10001.729,10001.729,,0.0,,,
1770361200,10001.729,10001.729,,0.0,,,
1770361500,10001.729,10001.729,,0.0,,,
1770361800,10001.729,10001.729,,0.0,,,
1770362100,10001.729,10001.729,,0.0,,,
1770362400,10001.729,10001.729,,0.0,,,
1770362700,10001.729,10001.729,,0.0,,,
1770363000,10001.729,10001.729,,0.0,,,
1770363300,10001.729,10001.729,,0.0,,,
1770363600,10001.729,10001.729,,0.0,,,
1770363900,10001.729,10001.729,,0.0,,,
1770364200,10001.729,10001.729,,0.0,,,
